Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
main,2000,453,2,9393,1139.32,7.950%,48.13709,397.54,8.62,8456.8
login,1000,5,0,263,15.34,0.000%,25.58330,131.84,4.82,5277.0
doLogin,1000,467,4,3033,411.66,2.700%,25.60492,215.63,16.23,8623.4
postList,1000,654,10,5958,804.02,7.000%,25.63774,525.14,5.21,20974.7
postForm,1000,386,1,2320,355.81,1.900%,25.80179,245.57,5.93,9745.9
insertPostForm,1000,681,1,4674,595.06,4.200%,25.86185,175.62,14.70,6953.8
search(post_title),1000,560,16,6628,664.10,4.200%,26.21507,558.08,6.37,21799.3
doLogout,1000,214,1,1958,248.37,5.300%,26.41519,215.68,11.96,8361.1
TOTAL,9000,430,0,9393,727.07,4.578%,216.61693,2318.68,69.27,10961.0
